"key","message","comment","context"
"%s building","%s 构建",,
"%s consume","%s 消费",,
"%s missing","%s 缺少",,
"105",,,
"5",,,
"A cancel reason must be selected","必须选择取消原因",,
"Action","活动",,
"Actions","活动",,
"Add Manuf. Order","添加Manuf订单",,
"Add components in bulk","批量添加组件",,
"Add to components","添加到组件",,
"All Current Manufacturing Orders","所有当前的生产订单",,
"All Upcoming Manufacturing Orders","所有即将到来的生产订单",,
"All products has been consumed","所有被消耗的产品",,
"Allocate","分配",,
"Alternative Bill of materials","替代材料清单",,
"App production","应用生产",,
"Applicable","可应用的",,
"Approval","批准",,
"Automatic email was not sent because no default email account and/or no valid email account was found : please create one.","自动电子邮件没有发送，因为没有默认的电子邮件帐户和/或没有找到有效的电子邮件帐户:请创建一个。",,
"Automatically plan the manuf. orders generated from sale order","自动计划由销售订单产生的宏利订单",,
"Available stock","可用库存",,
"Average Price","平均价格",,
"BOM","物料清单",,
"BOM.billOfMaterialList","组件概述",,
"BOM.company","公司",,
"BOM.defineSubBillOfMaterial","定义分材料清单",,
"BOM.hasNoManageStock","不是管理库存",,
"BOM.priority","优先",,
"BOM.qty","数量",,
"BOM.title","材料清单",,
"BOM.unit","单位",,
"BOM.versionNumber","版本号",,
"BOMs",,,
"Barcode","条形码",,
"Barcode Type","条形码类型",,
"Batchs","批次",,
"Bill of Materials","材料清单",,
"Bill of material","材料清单",,
"Bill of materials","材料清单",,
"Bill of materials and production process must be applicable","物料清单和生产流程必须适用",,
"BillOfMaterial","材料清单",,
"Bills of material","材料清单",,
"Bills of material filters","经筛选的材料清单",,
"Bills of materials","材料清单",,
"BoM","物料清单",,
"Bom child tree list","物料子树列表",,
"Bom level","物料级别",,
"Bom tree list","物料树列表",,
"Brand","品牌",,
"Calculate all BOM levels","物料级别计算",,
"Calculation date","计算时间",,
"Calculation number","计算数目",,
"Calculation type","计算类型",,
"Cancel","取消",,
"Cancel Reason","取消原因",,
"Cancel Reasons","取消原因",,
"Cancel reason","取消原因",,
"Cancel reservation","保留取消",,
"Canceled","取消",,
"Cancellation","取消",,
"Cancellation confirmation","确认取消",,
"Cancelled MOs",,,
"Cancelled Operations","操作取消",,
"Cannot add a manufacturing order without a production process. Please check that your chosen bill of materials has a valid production process.","没有生产流程不能添加制造订单。请检查您选择的物料清单是否有有效的生产流程。",,
"Capacity settings","容量设置",,
"Change allocated qty","改变分配的数量",,
"Charge by machine",负责机器,,
"Code",编码,,
"Comments",评论,,
"Companies",公司,,
"Company",公司,,
"Components",组件,,
"Components default stock location",组件默认库存位置,,
"Components valuation method for BOM",BOM的零件评估方法,,
"Components valuation method for manuf. order",宏利订单的组件估价方法,,
"Comput. cost",计算价值,,
"Compute cost price",计算成本价格,,
"Compute work in progress valuation",计算正在进行的工作评估,,
"Computed work in progress valuation",计算正在进行的工作评估,,
"Computed_cost",计算价值,,
"Condition",情况,,
"Configuration",配置,,
"Configurator",配置,,
"Configurator BOM",配置物料清单,,
"Configurator BOM component",配置物料清单组件,,
"Configurator BOM components",配置物料清单组件,,
"Configurator BOM tree view",配置器BOM树视图,,
"Configurator BoM",配置物料清单,,
"Configurator Phase",配置器相,,
"Configurator Phases",配置器相,,
"Configurator Prod Process",配置器prod过程,,
"Configurator Prod Process filters",配置器Prod流程过滤器,,
"Configurator creators",配置器的创造者,,
"Configurator production process",配置器生产过程,,
"Configurators",配置程序,,
"Configurators BOMs",物料清单配置程序,,
"Configurators BOMs tree",物料清单树配置程序,,
"Confirm cancellation",确认取消,,
"Consume in stock moves",存货变动消耗,,
"Consumed product",消费产品,,
"Consumed product waste",消费产品浪费,,
"Consumed products",消费产品,,
"Consumed quantity",消耗的数量,,
"Consumption",消耗,,
"Consumption qty",消耗数量,,
"Control on receipt",控制收据,,
"Cost",成本,,
"Cost (W.T.)",,,
"Cost Price",成本价格,,
"Cost calculations",成本计算,,
"Cost price",成本价格,,
"Cost price calculation",成本价格计算,,
"Cost sheet",成本报表,,
"Cost sheet - %s",成本报表 - %s,,
"Cost sheet group",成本报表组,,
"Cost sheet group for product",产品成本表组,,
"Cost sheet group for work center",成本表组为工作中心,,
"Cost sheet groups",成本报表组,,
"Cost sheet line",成本表行,,
"Cost sheet line detail",成本表明细,,
"Cost sheet lines",成本表行,,
"Cost sheet valuation",成本报表的估值,,
"Cost sheets",成本报表,,
"Cost sheets tree",成本报表树,,
"Cost to apply",费用申请,,
"Cost type",成本类型,,
"CostSheet",成本报表,,
"CostSheet.ManufOrderNumber","MO N°",,
"CostSheet.billOfMaterial","材料清单",,
"CostSheet.calculationDate","日期计算",,
"CostSheet.calculationType","计算类型",,
"CostSheet.calculationTypeBillOfMaterial","材料清单",,
"CostSheet.calculationTypeEndOfProduction","生产结束",,
"CostSheet.calculationTypePartialEndOfProduction","部分停产",,
"CostSheet.calculationTypeWorkInProgress","在制品",,
"CostSheet.company","公司",,
"CostSheet.costPrice","成本价格",,
"CostSheet.costSheetLineBomLevel","材料清单级别",,
"CostSheet.costSheetLineCode","编码",,
"CostSheet.costSheetLineConsumptionQty","消费数量",,
"CostSheet.costSheetLineCostSheetGroup","成本报表组",,
"CostSheet.costSheetLineName","名称",,
"CostSheet.costSheetLineUnit","单元",,
"CostSheet.costSheetLines","成本表明细",,
"CostSheet.createdBy","由…创建",,
"CostSheet.createdOn","创建于",,
"CostSheet.currency","货币",,
"CostSheet.dateOfEdition","版日期",,
"CostSheet.legend","图例",,
"CostSheet.lineType","类型",,
"CostSheet.lineTypeConsumeProduct","消费品",,
"CostSheet.lineTypeConsumeProductWaste","消费品浪费",,
"CostSheet.lineTypeHuman","人类",,
"CostSheet.lineTypeIndirectCost","间接成本",,
"CostSheet.lineTypeProduceProduct","生产产品",,
"CostSheet.lineTypeWorkCenter","工作中心",,
"CostSheet.manufOrder","制造订单",,
"CostSheet.title","成本报表",,
"Cost_to_apply",费用申请,,
"Costing settings",费用设置,,
"Costs computed",费用计算,,
"Costs updated",费用更新,,
"Create production order",创建生产订单,,
"Created by",由…创建,,
"Created on",创建于,,
"Currency",货币,,
"Customer",消费者,,
"Cycle unit",循环单元,,
"Dashboard",看板,,
"Data import failed",数据导入失败,,
"Date of calculation",计算日期,,
"Dates",日期,,
"Deallocate",解除分配,,
"Default BOM",默认物料清单,,
"Default Bill of materials",默认物料清单,,
"Default Machine",默认机器,,
"Default Machine settings",默认机器设置,,
"Default sequence",默认顺序,,
"Default work center product",默认工作中心生产,,
"Define as default bill of materials of product",定义物料清单生产默认中心,,
"Define sub bill of material",定义物料清单副本,,
"Define sub bill of materials",定义物料清单副本,,
"Define with a configurator",通过配置器定义,,
"Define with a script",通过脚本定义,,
"Description",描述,,
"Descriptions",描述,,
"Details",详情,,
"Diff",比较,,
"Diff consume manuf order",不同的消费manuf订单,,
"Diff consume operation order",不同的消费操作订单,,
"Difference",不同的,,
"Differences",不同的,,
"Direct Manufacturing",直接生产,,
"Direct Material",直接原料,,
"Do you really wish to create a new version of this bill of materials ?",你真的想创建这个材料单的新版本吗?,,
"Do you really wish to create a new version of this production process ?",您真的希望创建这个生产流程的新版本吗?,,
"Draft",草稿,,
"Draft MOs",MOs草稿,,
"Draft Operations",操作草稿,,
"Duration",期间,,
"Duration (days)",期间(天),,
"Duration (hours)",期间(小时),,
"Duration / cycle (hh:mm)",,,
"Duration / cycle (hh:mm:ss)",,,
"Duration between two cycles (hh:mm:ss)",,,
"Duration on MOs",MOs期间,,
"Enable production configurator",使生产配置器可用,,
"Enable the process for other products",使其他产品的流程可用,,
"End date",结束日期,,
"End of production",结束生产,,
"Ending duration (hh:mm:ss)",,,
"Error : You must configure a raw material requirement reporting sequence for the company %s",错误:您必须为公司配置原材料需求报告顺序 %s,,
"Error during production's order's creation",生产订单创建过程中出现错误,,
"Error while generating bill of material: the product of the bill of material is supposed to be computed from a script but the script did not return a product.",生成物料清单时出错:物料清单的产品应该从脚本计算，但脚本没有返回产品。,,
"Error while generating bill of material: the product of the bill of material is supposed to be filled in the configurator BOM but it was empty.",生成物料清单时的错误:物料清单的产品应该在配置器BOM中填充，但它是空的。,,
"Error while generating bill of material: the product of the bill of material is supposed to be generated from the configurator but the configurator did not generate a product.",生成物料清单时的错误:物料清单的产品应该从配置器生成，但配置器没有生成产品。,,
"Expected/Future Quantity",预期未来/数量,,
"Export",导出,,
"Filters",筛选,,
"Finish",完成,,
"Finished",完成,,
"Finished MOs",MOs完成,,
"Finished Operations",操作完成,,
"Finished products",生产完成,,
"Finished products default stock location",成品默认库存位置,,
"Forecast",预测,,
"From",开始,,
"From Date",开始日期,,
"General BoM",一般物料清单,,
"Generate new version",生成新版本,,
"Generate production configurations",生成生产配置,,
"Generate production orders automatically",自动生成生产订单,,
"Generate waste stock move",产生废料搬运,,
"High",高水平,,
"Human",人力,,
"Human Ressources Assigned per Manufacturing order",为每个生产订单分配人力资源,,
"Human and Machine",人力和机器,,
"Human resources",人力资源,,
