"key","message","comment","context"
"%s project","%s 项目",,
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<span class='label label-info'>Computed automatically if left empty</span>","<span class='label label-info'>如果空则自动计算</span>",,
"Accept Order","接受订货",,
"Actions","操作",,
"Add multiple lines","添加多行",,
"Add selected lines","添加选中行",,
"All phase tasks","所有阶段任务",,
"All phases","所有阶段",,
"All tasks","所有任务",,
"Analytic","分析的",,
"Announcement","公告",,
"App project","应用项目",,
"Assigned to","分配给",,
"Assigning to the customer","分配给客户",,
"Assigning to the provider","分配给提供者",,
"Book resource","书资源",,
"Business","商业",,
"Business project","商业项目",,
"Cancel","取消",,
"Canceled","取消",,
"Category","分类",,
"Characteristics","特性",,
"Child Projects","子项目",,
"Code","编码",,
"Company","公司",,
"Configuration","配置",,
"Configurations","配置",,
"Content","内容",,
"Contracts","合同",,
"Create business project from this template","从该模板创建业务项目",,
"Create invoicing project","创建发票项目",,
"Create new customer contract","创建新的客户契约",,
"Create new supplier contract","创建新的供应商合同",,
"Create project from this template","从该模板创建项目",,
"Currency","货币",,
"Customer","客户",,
"Customer Contact","客户联系",,
"Customer Invoice lines","客户发票行",,
"Customer contracts","客户合同",,
"Daily planned charge in a month in an average per employee","每日计划收费在一个月内平均为每个员工",,
"Daily planned charge in a month per employee","每个员工一个月的每日计划费用",,
"Daily planned charge in a month per project","每个项目一个月的每日计划收费",,
"Dates","日期",,
"Deadline","最终期限",,
"Deadline Today","最终期限今天",,
"Deadline Tomorrow","最终期限明天",,
"Deadline Yesterday","最终期限昨天",,
"Default status","默认状态",,
"Delay to start (Hours)","延迟开始(小时)",,
"Description","描述",,
"Due Date","到期日",,
"Duration (Hours)","持续时间(小时)",,
"Duration hours","持续几个小时",,
"Employee","雇员",,
"Enable task signature","使任务的签名",,
"Enter Time spent","输入时间",,
"Estimated time","预估时间",,
"Estimated time (in days)","预计时间(以天计)",,
"Estimated time (in hours)","预计时间(以小时计)",,
"Exclude planning","排除计划",,
"Expense lines","行费用",,
"Expenses","费用",,
"Extends members from parent","从父母那里扩展成员",,
"Financial Data","财务数据",,
"Financial Report","财务报表",,
"Finish","完成",,
"Finish tasks to finish","完成任务",,
"Finish tasks to start","完成开始的任务",,
"Finished","完成",,
"Follow-up","后续的",,
"Followers","追随者",,
"Frequency","频率",,
"From Date","开始日期",,
"From date","开始日期",,
"Gantt",,,
"Gantt with project",,,
"Gantt with user",,,
"Gen proj type per order line",,,
"Generate quotation",,,
"Generate sequence for project","为项目生成序列",,
"Generated project","生成的项目",,
"High","高级别",,
"Historical","历史的",,
"Image","想象",,
"Import all members","导入所有成员",,
"Imputable","可归因的",,
"In Progress","正在进行",,
"Internal Description","内部描述",,
"Invoiced","开具",,
"Invoices","发票",,
"Invoicing","开发票",,
"Is close","很近",,
"Is open","开放",,
"Is unique task for multiple quantity","多重任务的唯一任务",,
"Log Times","记录时间",,
"Low","低级别的",,
"Manage lines","管理行",,
"Members","成员",,
"Membres","成员",,
"My projects","我的项目",,
"My tasks due","由于我的任务",,
"My tasks to do","我即将要做的任务",,
"My today planning","我今天的计划",,
"My upcoming planning","我将来的计划",,
"Name","名称",,
"New","新的",,
"New line","新的行",,
"New task","新的任务",,
"New ticket","新票",,
"Normal","正常的",,
"Not invoiced","没有发票",,
"Not specified","未标明的",,
"Notes","注释",,
