"key","message","comment","context"
"0",,,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"Action proposed","行动建议",,
"Actions","行动",,
"Add optional control points","增加辅助控制点",,
"Alert calendar","警报的日历",,
"App quality","应用质量",,
"Applicable","可适用的",,
"Automatic mail by completing quality control","自动邮件完成质量控制",,
"Calendar","日历",,
"Cancel","取消",,
"Canceled","取消",,
"Choose quality process","选择质量过程",,
"Close","关闭",,
"Code","编码",,
"Coefficient","系数",,
"Compliant","应允的",,
"Configuration","配置",,
"Confirm","确认",,
"Confirmed","确认",,
"Conformity","遵守",,
"Control Frequency","控制频率",,
"Control Points","控制点",,
"Control comment","控制评论",,
"Control point","控制点",,
"Control point list","控制点列表",,
"Control point model list","控制点模型列表",,
"Control point name","控制点名称",,
"Control point type","控制点类型",,
"Control points","控制点",,
"Corrective actions","纠正措施",,
"Corrective actions list","纠正措施列表",,
"Customer signature","客户签名",,
"Date","日期",,
"Deadline","最后期限",,
"Description","描述",,
"Details","详情",,
"Done","完成",,
"Draft","草稿",,
"Edit control points","编辑控制点",,
"End date","结束日期",,
"File","文件",,
"Finish","完成",,
"Finished","完成",,
"From Date","从今天开始",,
"Full name","全名",,
"High","高级别",,
"In progress","正在进行",,
"Inspector signature","检验员签名",,
"Label","标签",,
"Low","低级别",,
"Measuring Type","测量类型",,
"Measuring point list","测量点列表",,
"Measuring points","测量点",,
"Model for quality control","质量控制模型",,
"My alerts","我的提醒",,
"My quality controls","我的质量控制",,
"My team alerts","我的团队提醒",,
"My team quality controls","我的团队质量控制",,
"Name","名称",,
"New","新的",,
"Normal","正常",,
"Note","注释",,
"Notes","注释",,
"Number of quality alerts","质量提醒数量",,
"Number of quality controls","质量控制数量",,
"Number of solved quality alerts","已解决的质量提醒数量",,
"Observations","观察",,
"On hold","尚未办理的事情",,
"Optional control point list","可选控制点列表",,
"Optional control points","可选控制点",,
"Optional quality control","可选质量控制",,
"Optional quality process","可选质量流程",,
"Pause","暂停",,
"Pictures","照片",,
"Plan","计划",,
"Planned","计划",,
"Please complete all control points","请完成所有控制点",,
"Please fill printing settings on quality control","请填写印刷质量控制设置",,
"Pre-fill control points","预填充控制点",,
"Preventive actions","预防措施",,
"Print","打印",,
"Printing settings","打印设置",,
"Priority","优先",,
"Product","生产",,
"Project","项目",,
"Propose action","提出行动",,
"Quality","质量",,
"Quality Dashboard","质量看板",,
"Quality alert","质量提醒",,
"Quality alert filters","质量提醒筛选",,
"Quality alerts","质量提醒",,
"Quality control","质量控制",,
"Quality control calendar","质量控制日历",,
"Quality control filters","质量控制筛选",,
"Quality controls","质量控制",,
"Quality process","质量流程",,
"Quality processes","质量流程",,
"Quality tag","质量标签",,
"Quality teams","质量团队",,
"QualityControl","质量控制",,
"QualityControl.coefficient","系数",,
"QualityControl.correctiveActions","纠正措施",,
"QualityControl.customerSignature","用户",,
"QualityControl.endDate","日期",,
"QualityControl.finalNote","最后请注意",,
"QualityControl.generalObservation","总体评论",,
"QualityControl.inspectorSignature","检查员",,
"QualityControl.measuringNote","注释",,
"QualityControl.observation","观察",,
"QualityControl.project","项目",,
"QualityControl.projectClient","用户",,
"QualityControl.qualityControlTitle","质量控制",,
"QualityControl.reference","参考",,
"QualityControl.responsible","负责的",,
"QualityControl.total","全部",,
"Reference","参考",,
"Reportings","报告",,
"Result","结果",,
"Root cause","根本原因",,
"Root causes","根本原因",,
"Send email","发送邮件",,
"Sequence","顺序",,
"Solve","解决",,
"Solved","解决",,
"Standby","备用",,
"Start","开始",,
"Start date","开始日期",,
"Status","状态",,
"Status select","状态选择",,
"Tags","标签",,
"Team","团队",,
"To Date","截至到目前",,
"Tools","工具",,
"Type","类型",,
"Urgent","紧急的",,
"Week(s)",,,
"Work center","工作中心",,
"counter","计数",,
"quality.responsible","负责的",,
"value:Quality",,,
